addr,name,size,decomp_ok
080118e8,FUN_080118e8,40,1
08011910,FUN_08011910,38,1
08011936,FUN_08011936,16,1
08011946,FUN_08011946,6,1
0801194c,FUN_0801194c,26,1
0801196c,FUN_0801196c,48,1
080119a0,FUN_080119a0,42,1
080119ca,FUN_080119ca,78,1
08011a18,FUN_08011a18,32,1
08011a3c,FUN_08011a3c,306,1
08011b90,FUN_08011b90,38,1
08011bbc,FUN_08011bbc,8,1
08011bc8,FUN_08011bc8,8,1
08011bd4,FUN_08011bd4,8,1
08011be0,FUN_08011be0,486,1
08011dd4,FUN_08011dd4,16,1
08011de8,FUN_08011de8,16,1
08011dfc,FUN_08011dfc,212,1
080120a8,FUN_080120a8,188,1
08012170,FUN_08012170,58,1
080121b2,FUN_080121b2,10,1
080121bc,FUN_080121bc,8,1
080121c4,FUN_080121c4,10,1
080121d0,FUN_080121d0,120,1
08012264,FUN_08012264,8,1
0801226c,FUN_0801226c,24,1
08012284,FUN_08012284,10,1
0801228e,FUN_0801228e,24,1
080122a8,FUN_080122a8,56,1
080122e4,FUN_080122e4,28,1
08012300,FUN_08012300,148,1
08012398,FUN_08012398,90,1
080123f4,FUN_080123f4,90,1
08012454,FUN_08012454,320,1
08012598,FUN_08012598,76,1
080125ec,FUN_080125ec,8,1
080125f4,FUN_080125f4,8,1
080125fc,FUN_080125fc,80,1
08012654,FUN_08012654,12,1
08012660,FUN_08012660,10,1
0801266a,FUN_0801266a,22,1
08012680,FUN_08012680,22,1
08012696,FUN_08012696,48,1
080126c6,FUN_080126c6,16,1
080126d6,FUN_080126d6,12,1
080126e2,FUN_080126e2,16,1
080126f2,FUN_080126f2,12,1
080126fe,FUN_080126fe,16,1
08012710,FUN_08012710,16,1
08012724,FUN_08012724,92,1
08012784,FUN_08012784,36,1
080127a8,FUN_080127a8,312,1
080128f0,FUN_080128f0,12,1
08012904,FUN_08012904,26,1
08012924,FUN_08012924,32,1
08012948,FUN_08012948,98,1
0801295c,FUN_0801295c,64,1
080129a0,FUN_080129a0,208,1
08012b60,FUN_08012b60,142,1
08012bfc,FUN_08012bfc,36,1
08012c3c,FUN_08012c3c,60,1
08012c78,FUN_08012c78,50,1
08012cb0,FUN_08012cb0,40,1
08012cdc,FUN_08012cdc,52,1
08012d14,FUN_08012d14,70,1
08012d60,FUN_08012d60,146,1
08012e00,FUN_08012e00,24,1
08012e18,FUN_08012e18,30,1
08012e36,FUN_08012e36,30,1
08012e54,FUN_08012e54,26,1
08012e7c,FUN_08012e7c,120,1
08012ef8,FUN_08012ef8,28,1
08012f14,FUN_08012f14,110,1
08012fcc,FUN_08012fcc,140,1
0801305c,FUN_0801305c,122,1
080130dc,FUN_080130dc,64,1
0801311c,FUN_0801311c,208,1
08013304,FUN_08013304,142,1
08013394,FUN_08013394,92,1
080133f4,FUN_080133f4,116,1
08013474,FUN_08013474,164,1
0801351c,FUN_0801351c,126,1
080135a0,FUN_080135a0,254,1
080136a8,FUN_080136a8,152,1
08013880,FUN_08013880,98,1
080138e4,FUN_080138e4,62,1
08013928,FUN_08013928,100,1
08013994,FUN_08013994,120,1
08013a18,FUN_08013a18,152,1
08013adc,FUN_08013adc,254,1
08013be0,FUN_08013be0,52,1
08013c14,FUN_08013c14,24,1
08013c2c,FUN_08013c2c,44,1
08013c58,FUN_08013c58,68,1
08013c9c,FUN_08013c9c,48,1
08013cd6,FUN_08013cd6,34,1
08013cf8,FUN_08013cf8,96,1
08013d64,FUN_08013d64,88,1
08013dc6,FUN_08013dc6,32,1
08013de6,FUN_08013de6,26,1
08013e00,FUN_08013e00,26,1
08013e1a,FUN_08013e1a,48,1
08013e4a,FUN_08013e4a,38,1
08013e70,FUN_08013e70,448,1
08014030,FUN_08014030,410,1
080141d2,FUN_080141d2,112,1
08014244,FUN_08014244,158,1
080142ec,FUN_080142ec,114,1
08014364,FUN_08014364,182,1
08014518,FUN_08014518,76,1
0801456c,FUN_0801456c,78,1
080145fc,FUN_080145fc,530,1
080149dc,FUN_080149dc,202,1
08014c74,FUN_08014c74,146,1
08014d10,FUN_08014d10,12,1
08014d20,FUN_08014d20,46,1
08014fe4,FUN_08014fe4,128,1
08015064,FUN_08015064,52,1
08015098,FUN_08015098,54,1
080150d8,FUN_080150d8,128,1
08015174,FUN_08015174,62,1
080151b8,FUN_080151b8,50,1
08018158,thunk_FUN_08061714,4,1
0801816a,FUN_0801816a,6,1
08018170,FUN_08018170,4,1
08018194,FUN_08018194,32,1
080181b4,FUN_080181b4,14,1
08018224,FUN_08018224,6,1
0801825c,FUN_0801825c,4,1
08018260,FUN_08018260,494,1
08018440,FUN_08018440,16,1
08018464,FUN_08018464,98,1
080184c6,FUN_080184c6,30,1
080184e4,FUN_080184e4,36,1
08018508,FUN_08018508,12,1
