nth  paddr      vaddr      len size section type    string
295  0x08012e8a 0x08012e8a 4   5            ascii   \rL\rJ
296  0x08012e9a 0x08012e9a 6   7            ascii   \r`K`@h
297  0x08012f0b 0x08012f0b 4   5            ascii   `F`Z
298  0x08012faa 0x08012faa 7   8            ascii   \bD(`8F\b
299  0x08012ff8 0x08012ff8 4   5            ascii   "F)F
300  0x08013078 0x08013078 4   5            ascii    hBh
301  0x0801310d 0x0801310d 4   5            ascii   F\t(o
302  0x08013123 0x08013123 4   5            ascii   \t\fxH
303  0x0801319e 0x0801319e 4   5            ascii   [hd!
304  0x080131f8 0x080131f8 4   5            ascii   QF8F
305  0x0801333a 0x0801333a 4   5            ascii   ah\bc
306  0x08013349 0x08013349 5   6            ascii   "\beJt
307  0x08013354 0x08013354 4   5            ascii   ! Hb
308  0x0801337f 0x0801337f 5   6            ascii   _lL`h
309  0x080133a6 0x080133a6 4   5            ascii   `h@h
310  0x08013410 0x08013410 4   5            ascii   DFMF
311  0x08013453 0x08013453 4   5            ascii   1wF]
312  0x080134b3 0x080134b3 5   6            ascii    HtLa
313  0x080134ea 0x080134ea 4   5            ascii   yh\bc
314  0x080134f8 0x080134f8 4   5            ascii   yh\be
315  0x0801351c 0x0801351c 4   5            ascii   xh@k
316  0x08013524 0x08013524 4   5            ascii   xh@m
317  0x0801354b 0x0801354b 5   6            ascii   F@xIx
318  0x08013554 0x08013554 4   5            ascii   }hth
319  0x0801356d 0x0801356d 4   6            utf8    ,fЬB
320  0x08013628 0x08013628 5   6            ascii   XAA\bO
321  0x08013668 0x08013668 4   5            ascii   (Fnh
322  0x0801367b 0x0801367b 4   5            ascii   ```p
323  0x080136a3 0x080136a3 4   5            ascii   5,F\b
324  0x080136ae 0x080136ae 4   5            ascii   ph@{
325  0x080136b4 0x080136b4 4   5            ascii   )F+F
326  0x08013708 0x08013708 4   5            ascii   phGs
327  0x08013720 0x08013720 25  26           ascii   get factory driver failed
328  0x0801373f 0x0801373f 34  35           ascii   \b..\src\application\process_comm.c
329  0x08013764 0x08013764 4   5            ascii   comm
330  0x0801376f 0x0801376f 35  36           ascii    comm_task_init bd task wait failed
331  0x080137b1 0x080137b1 5   6            ascii    \r`\bs
332  0x080137ff 0x080137ff 10  11           ascii   \bcomm_task
333  0x0801380f 0x0801380f 37  38           ascii   \bcreate comm_task_init bd task failed
334  0x0801383b 0x0801383b 34  35           ascii   \b..\src\application\process_comm.c
